GAME_ID,GAME_DATE,HOME,HOME_WIN,HOME_PTS,AWAY,AWAY_WL,AWAY_PTS,HOME_GP,AWAY_GP,HOME_GAMES_WON,AWAY_GAMES_WON,HOME_WIN_PCT,AWAY_WIN_PCT,HOME_AVG_PTS,AWAY_AVG_PTS,HOME_LAST5_WIN,HOME_REST_DAYS,AWAY_LAST5_WIN,AWAY_REST_DAYS,SEASON
21400016,2014-10-30,ORL,0,98,WAS,1,105,1,1,0,0,0.0,0.0,84.0,95.0,0.0,2.0,0.0,1.0,2014-15
21400017,2014-10-30,MIN,1,97,DET,0,91,1,1,0,0,0.0,0.0,101.0,79.0,0.0,1.0,0.0,1.0,2014-15
21400019,2014-10-30,DAL,1,120,UTA,0,102,1,1,0,0,0.0,0.0,100.0,93.0,0.0,2.0,0.0,1.0,2014-15
21400021,2014-10-31,IND,0,89,MEM,1,97,1,1,1,1,1.0,1.0,103.0,105.0,1.0,2.0,1.0,2.0,2014-15
21400022,2014-10-31,CHI,0,108,CLE,1,114,1,1,1,0,1.0,0.0,104.0,90.0,1.0,2.0,0.0,1.0,2014-15
21400023,2014-10-31,MIL,1,93,PHI,0,81,1,1,0,0,0.0,0.0,106.0,91.0,0.0,2.0,0.0,2.0,2014-15
21400024,2014-10-31,PHX,1,94,SAS,0,89,1,1,1,1,1.0,1.0,119.0,101.0,1.0,2.0,1.0,3.0,2014-15
21400025,2014-10-31,SAC,1,103,POR,0,94,1,1,0,1,0.0,1.0,77.0,106.0,0.0,2.0,1.0,2.0,2014-15
21400026,2014-10-31,LAL,0,111,LAC,1,118,2,1,0,1,0.0,1.0,94.5,93.0,0.0,2.0,1.0,1.0,2014-15
21400027,2014-11-01,NOP,0,104,DAL,1,109,1,2,1,1,1.0,0.5,101.0,110.0,1.0,4.0,0.5,2.0,2014-15
21400028,2014-11-01,CHA,0,69,MEM,1,71,1,2,1,2,1.0,1.0,108.0,101.0,1.0,3.0,1.0,1.0,2014-15
21400029,2014-11-01,ORL,0,95,TOR,1,108,2,1,0,1,0.0,1.0,91.0,109.0,0.0,2.0,1.0,3.0,2014-15
21400030,2014-11-01,PHI,0,96,MIA,1,114,2,1,0,1,0.0,1.0,86.0,107.0,0.0,1.0,1.0,3.0,2014-15
21400031,2014-11-01,WAS,1,108,MIL,0,97,2,2,1,1,0.5,0.5,100.0,99.5,0.5,2.0,0.5,1.0,2014-15
21400032,2014-11-01,ATL,1,102,IND,0,92,1,2,0,1,0.0,0.5,102.0,96.0,0.0,3.0,0.5,1.0,2014-15
21400033,2014-11-01,DET,0,90,BKN,1,102,2,1,0,0,0.0,0.0,85.0,105.0,0.0,2.0,0.0,3.0,2014-15
21400034,2014-11-01,HOU,1,104,BOS,0,90,2,1,2,1,1.0,1.0,106.0,121.0,1.0,3.0,1.0,3.0,2014-15
21400035,2014-11-01,MIN,0,105,CHI,1,106,2,2,1,1,0.5,0.5,99.0,106.0,0.5,2.0,0.5,1.0,2014-15
21400036,2014-11-01,OKC,1,102,DEN,0,91,2,1,0,1,0.0,1.0,89.5,89.0,0.0,2.0,1.0,3.0,2014-15
21400037,2014-11-01,UTA,1,118,PHX,0,91,2,2,0,2,0.0,1.0,97.5,106.5,0.0,2.0,1.0,1.0,2014-15
21400038,2014-11-01,GSW,1,127,LAL,0,104,1,3,1,0,1.0,0.0,95.0,100.0,1.0,3.0,0.0,1.0,2014-15
21400039,2014-11-02,LAC,0,92,SAC,1,98,2,2,2,1,1.0,0.5,105.5,90.0,1.0,2.0,0.5,2.0,2014-15
21400040,2014-11-02,MIA,1,107,TOR,0,102,2,2,2,2,1.0,1.0,110.5,108.5,1.0,1.0,1.0,1.0,2014-15
21400041,2014-11-02,NYK,1,96,CHA,0,93,2,2,1,1,0.5,0.5,87.5,88.5,0.5,3.0,0.5,1.0,2014-15
21400042,2014-11-02,POR,0,90,GSW,1,95,2,2,1,2,0.5,1.0,100.0,111.0,0.5,2.0,1.0,1.0,2014-15
21400043,2014-11-03,PHI,0,93,HOU,1,104,3,3,0,3,0.0,1.0,89.33333333333333,105.33333333333331,0.0,2.0,1.0,2.0,2014-15
21400044,2014-11-03,BKN,1,116,OKC,0,85,2,3,1,1,0.5,0.3333333333333333,103.5,93.66666666666669,0.5,2.0,0.333,2.0,2014-15
21400045,2014-11-03,MEM,1,93,NOP,0,81,3,2,3,1,1.0,0.5,91.0,102.5,1.0,2.0,0.5,2.0,2014-15
21400046,2014-11-03,DAL,1,118,BOS,0,113,3,2,2,1,0.6666666666666666,0.5,109.66666666666669,105.5,0.667,2.0,0.5,2.0,2014-15
21400047,2014-11-03,DEN,0,105,SAC,1,110,2,3,1,2,0.5,0.6666666666666666,90.0,92.66666666666669,0.5,2.0,0.667,1.0,2014-15
21400048,2014-11-03,LAC,1,107,UTA,0,101,3,3,2,1,0.6666666666666666,0.3333333333333333,101.0,104.33333333333331,0.667,1.0,0.333,2.0,2014-15
21400049,2014-11-04,IND,0,81,MIL,1,87,3,3,1,1,0.3333333333333333,0.3333333333333333,94.66666666666669,98.66666666666669,0.333,3.0,0.333,3.0,2014-15
21400050,2014-11-04,MIA,0,91,HOU,1,108,3,4,3,4,1.0,1.0,109.33333333333331,105.0,1.0,2.0,1.0,1.0,2014-15
21400051,2014-11-04,NYK,0,83,WAS,1,98,3,3,2,2,0.6666666666666666,0.6666666666666666,90.33333333333331,102.66666666666669,0.667,2.0,0.667,3.0,2014-15
21400052,2014-11-04,TOR,1,100,OKC,0,88,3,4,2,1,0.6666666666666666,0.25,106.33333333333331,91.5,0.667,2.0,0.25,1.0,2014-15
21400053,2014-11-04,CHI,1,98,ORL,0,90,3,3,2,0,0.6666666666666666,0.0,106.0,92.33333333333331,0.667,3.0,0.0,3.0,2014-15
21400054,2014-11-04,NOP,1,100,CHA,0,91,3,3,1,1,0.3333333333333333,0.3333333333333333,95.33333333333331,90.0,0.333,1.0,0.333,2.0,2014-15
21400055,2014-11-04,POR,1,101,CLE,0,82,3,2,1,1,0.3333333333333333,0.5,96.66666666666669,102.0,0.333,2.0,0.5,4.0,2014-15
21400056,2014-11-04,LAL,0,106,PHX,1,112,4,3,0,2,0.0,0.6666666666666666,101.0,101.33333333333331,0.0,3.0,0.667,3.0,2014-15
21400057,2014-11-05,CHA,1,96,MIA,0,89,4,4,1,3,0.25,0.75,90.25,104.75,0.25,1.0,0.75,1.0,2014-15
21400058,2014-11-05,PHI,0,89,ORL,1,91,4,4,0,0,0.0,0.0,90.25,91.75,0.0,2.0,0.0,1.0,2014-15
21400059,2014-11-05,BOS,0,107,TOR,1,110,3,4,1,3,0.3333333333333333,0.75,108.0,104.75,0.333,2.0,0.75,1.0,2014-15
21400060,2014-11-05,BKN,0,91,MIN,1,98,3,3,2,1,0.6666666666666666,0.3333333333333333,107.66666666666669,101.0,0.667,2.0,0.333,4.0,2014-15
21400061,2014-11-05,DET,1,98,NYK,0,95,3,4,0,2,0.0,0.5,86.66666666666667,88.5,0.0,4.0,0.5,1.0,2014-15
21400062,2014-11-05,MIL,0,86,CHI,1,95,4,4,2,3,0.5,0.75,95.75,104.0,0.5,1.0,0.75,1.0,2014-15
21400063,2014-11-05,WAS,1,96,IND,0,94,4,4,3,1,0.75,0.25,101.5,91.25,0.75,1.0,0.25,1.0,2014-15
21400064,2014-11-05,SAS,1,94,ATL,0,92,2,2,1,1,0.5,0.5,95.0,102.0,0.5,5.0,0.5,4.0,2014-15
21400065,2014-11-05,PHX,0,91,MEM,1,102,4,4,3,4,0.75,1.0,104.0,91.5,0.75,1.0,1.0,2.0,2014-15
21400066,2014-11-05,UTA,1,102,CLE,0,100,4,3,1,1,0.25,0.3333333333333333,103.5,95.33333333333331,0.25,2.0,0.333,1.0,2014-15
21400067,2014-11-05,SAC,1,131,DEN,0,109,4,3,3,1,0.75,0.3333333333333333,97.0,95.0,0.75,2.0,0.333,2.0,2014-15
21400068,2014-11-05,GSW,1,121,LAC,0,104,3,4,3,3,1.0,0.75,105.66666666666669,102.5,1.0,3.0,0.75,2.0,2014-15
21400069,2014-11-06,HOU,1,98,SAS,0,81,5,3,5,2,1.0,0.6666666666666666,105.6,94.66666666666669,1.0,2.0,0.667,1.0,2014-15
21400070,2014-11-06,POR,1,108,DAL,0,87,4,4,2,3,0.5,0.75,97.75,111.75,0.5,2.0,0.75,3.0,2014-15
21400071,2014-11-07,CHA,1,122,ATL,0,119,5,3,2,1,0.4,0.3333333333333333,91.4,98.66666666666669,0.4,2.0,0.333,2.0,2014-15
21400072,2014-11-07,ORL,1,112,MIN,0,103,5,4,1,2,0.2,0.5,91.6,100.25,0.2,2.0,0.5,2.0,2014-15
21400073,2014-11-07,PHI,0,115,CHI,1,118,5,5,0,4,0.0,0.8,90.0,102.2,0.0,2.0,0.8,2.0,2014-15
21400074,2014-11-07,BOS,1,101,IND,0,98,4,5,1,1,0.25,0.2,107.75,91.8,0.25,2.0,0.2,2.0,2014-15
21400075,2014-11-07,BKN,1,110,NYK,0,99,4,5,2,2,0.5,0.4,103.5,89.8,0.5,2.0,0.4,2.0,2014-15
21400076,2014-11-07,DET,1,98,MIL,0,95,4,5,1,2,0.25,0.4,89.5,93.8,0.25,2.0,0.4,2.0,2014-15
21400077,2014-11-07,TOR,1,103,WAS,0,84,5,5,4,4,0.8,0.8,105.8,100.4,0.8,2.0,0.8,2.0,2014-15
21400078,2014-11-07,OKC,0,89,MEM,1,91,5,5,1,5,0.2,1.0,90.8,93.6,0.2,3.0,1.0,2.0,2014-15
21400079,2014-11-07,PHX,0,112,SAC,1,114,5,5,3,4,0.6,0.8,101.4,103.8,0.6,2.0,0.8,2.0,2014-15
21400080,2014-11-07,UTA,0,82,DAL,1,105,5,5,2,3,0.4,0.6,103.2,106.8,0.4,2.0,0.6,1.0,2014-15
21400081,2014-11-07,DEN,0,101,CLE,1,110,4,4,1,1,0.25,0.25,98.5,96.5,0.25,2.0,0.25,2.0,2014-15
21400082,2014-11-08,LAC,1,106,POR,0,102,5,5,3,3,0.6,0.6,102.8,99.8,0.6,3.0,0.6,2.0,2014-15
21400083,2014-11-08,IND,0,90,WAS,1,97,6,6,1,4,0.1666666666666666,0.6666666666666666,92.83333333333331,97.66666666666669,0.0,1.0,0.8,1.0,2014-15
21400084,2014-11-08,ATL,1,103,NYK,0,96,4,6,1,2,0.25,0.3333333333333333,103.75,91.33333333333331,0.25,1.0,0.4,1.0,2014-15
21400085,2014-11-08,MIA,1,102,MIN,0,92,5,5,3,2,0.6,0.4,101.6,100.8,0.6,3.0,0.4,1.0,2014-15
21400086,2014-11-08,CHI,0,101,BOS,1,106,6,5,5,2,0.8333333333333334,0.4,104.83333333333331,106.4,0.8,1.0,0.4,1.0,2014-15
21400087,2014-11-08,HOU,0,87,GSW,1,98,6,4,6,4,1.0,1.0,104.33333333333331,109.5,1.0,2.0,1.0,3.0,2014-15
21400088,2014-11-08,MIL,1,93,MEM,0,92,6,6,2,6,0.3333333333333333,1.0,94.0,93.16666666666669,0.4,1.0,1.0,1.0,2014-15
